Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI,district_id,district_name,year
2023,2,Clark,2358.2,Odyssey MS,District Charter,83.5,5,NO,54.9,35.2,49.4,YES,YES,NO,NO,NO,55.7,41.4,25,85.5,,,,,,,<5,NO,,NO,,YES,2.0,64827,Churchill,2023
2023,2,Clark,2359.2,Johnston MS,Regular,22.0,1,YES,22.2,10.4,18.8,YES,YES,YES,YES,NO,21.9,12.2,39,81.7,,,,,,,49.7,YES,5.0,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2360.2,Tarkanian MS,Regular,77.0,4,NO,54.9,40,41.2,YES,YES,NO,NO,NO,56.9,43.9,33.3,94.4,,,,,,,22.1,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2361.2,Escobedo MS,Regular,26.5,1,YES,36,15.9,33.8,YES,YES,YES,YES,NO,32.6,14.8,39.2,88.8,,,,,,,30.2,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2362.2,Faiss MS,Regular,48.5,2,YES,41.7,32.6,31.8,YES,YES,NO,NO,NO,40.3,36.4,28.3,83,,,,,,,31.4,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2363.2,Innovations SEC MS,District Charter,39.0,2,YES,25.5,9.5,15,YES,YES,NO,NO,NO,26.9,14,40,81.9,,,,,,,45.2,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2363.3,Innovations SEC HS,District Charter,56.0,3,YES,28,<5,8.6,YES,YES,NO,NO,NO,,,12.5,,100,>95,<4.5,66.6,85.7,>95,42.7,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2364.2,100 Academy SET MS,District Charter,39.44,2,YES,24.6,7.7,21,YES,YES,NO,NO,NO,32.2,12.1,-,>95,,,,,,,41.4,NO,,NO,,YES,2.0,64827,Churchill,2023
2023,2,Clark,2368.2,Gunderson MS,Regular,74.5,4,NO,55.2,45.3,38.7,YES,YES,YES,NO,NO,53.6,50.9,46.2,87.9,,,,,,,22.1,NO,,YES,,NO,,64827,Churchill,2023
2023,2,Clark,2369.2,Mackey MS,Regular,59.0,3,YES,47.4,21.8,34.1,YES,YES,NO,NO,NO,48.3,26.7,56.2,>95,,,,,,,17.2,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2401.3,Clark HS,Regular,57.0,3,YES,43.7,25.4,27.8,NO,NO,YES,NO,NO,,,<5,,87.8,69.6,44.6,35.8,86,84.4,41,NO,,NO,,YES,3.0,64827,Churchill,2023
2023,2,Clark,2402.3,Las Vegas HS,Regular,65.0,3,YES,27,7.9,8,NO,NO,NO,NO,NO,,,11.5,,88.6,80.8,54.3,26.1,93.4,88.7,52.4,NO,,NO,,YES,3.0,64827,Churchill,2023
2023,2,Clark,2403.3,Rancho HS,Regular,61.0,3,YES,29.9,14.3,13.3,NO,NO,YES,YES,NO,,,5.7,,91.2,84,69.4,44.5,93.9,93.9,39.6,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2404.3,Valley HS,Regular,46.0,2,YES,21.6,7.3,7.2,NO,NO,NO,NO,NO,,,<5,,79.3,70.7,43.3,25.8,84.2,84.3,55.6,NO,,NO,,YES,3.0,64827,Churchill,2023
2023,2,Clark,2405.3,Western HS,Regular,37.5,2,YES,13.9,<5,11.5,NO,NO,YES,NO,NO,,,<5,,80.1,67.9,37.3,26.7,81,81.8,51.9,NO,,NO,,YES,3.0,64827,Churchill,2023
2023,2,Clark,2406.3,Basic ACAD HS,Regular,57.0,3,YES,37.4,9.7,15.3,YES,YES,YES,NO,NO,,,6,,88.9,64.4,34.1,32.4,91.2,88.3,42.9,NO,,NO,,YES,3.0,64827,Churchill,2023
2023,2,Clark,2408.3,Morris Sunset HS,Alternative,10.63,1,YES,33.3,<5,-,-,NO,NO,NO,NO,,,-,,-,44.6,7.1,<5,52,77.2,39.6,YES,1.0,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2409.3,Chaparral HS,Regular,29.5,2,YES,12.2,<5,6.4,NO,NO,NO,NO,NO,,,7.3,,86,58.9,26.1,24.2,74.6,85,53.2,NO,,NO,,YES,3.0,64827,Churchill,2023
2023,2,Clark,2410.3,Eldorado HS,Regular,46.5,2,YES,25.6,7.4,12.3,YES,YES,NO,NO,NO,,,<5,,82,67.3,28,24.5,87.7,85.1,52,NO,,NO,,YES,3.0,64827,Churchill,2023
2023,2,Clark,2411.3,Bonanza HS,Regular,55.0,3,YES,27.7,7.7,8.6,NO,NO,YES,NO,NO,,,6.5,,76.8,68.2,41.6,25.2,90.6,85.8,43.2,NO,,YES,,NO,,64827,Churchill,2023
2023,2,Clark,2412.3,SECTA HS,Regular,85.5,5,NO,73,32,27,YES,YES,NO,NO,NO,,,12.3,,98.9,>95,>95,57.6,>95,>95,17.1,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2414.3,Cimarron Mem HS,Regular,61.0,3,YES,22.5,6.7,13.3,YES,YES,NO,NO,NO,,,6.5,,96,72.8,45.3,35.8,90.6,93.7,43.4,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2415.3,Cheyenne HS,Regular,32.5,2,YES,17.8,<5,10,NO,NO,YES,NO,NO,,,5.2,,82,72.8,32.6,9.6,75.4,81.5,54,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2416.3,Green Valley HS,Regular,65.5,3,NO,56.2,19.9,18.5,YES,YES,YES,NO,NO,,,<5,,93.1,66.5,41,36.8,92.5,90.7,30.8,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2417.3,Durango HS,Regular,52.0,3,YES,32.2,14,21.2,YES,YES,YES,NO,NO,,,<5,,76.5,77.1,34.6,41.4,86,84.6,40.2,NO,,NO,,YES,3.0,64827,Churchill,2023
2023,2,Clark,2418.3,Las Vegas ACAD HS,Regular,95.0,5,NO,92,43.3,47.7,YES,YES,NO,NO,NO,,,-,,98.9,81.4,58,74.8,>95,>95,15.8,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2420.3,Adv Tech ACAD HS,Regular,97.5,5,NO,91.3,71.8,57.1,YES,YES,NO,NO,NO,,,33.3,,99.3,>95,>95,80.2,>95,>95,12.4,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2421.3,Silverado HS,Regular,67.0,3,NO,46.8,17.8,18.7,YES,YES,YES,NO,NO,,,16.5,,89.5,65.1,37.6,42.5,91.5,91.3,35.2,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2422.3,CSN East HS,Regular,94.38,5,NO,90.7,36.9,,YES,YES,NO,NO,NO,,,,,,>95,>95,71.9,>95,>95,13.6,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2423.3,CSN West HS,Regular,97.5,5,NO,93.5,62.3,,YES,YES,NO,NO,NO,,,,,,>95,>95,86.1,>95,>95,13.5,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2424.3,Mojave HS,Regular,38.0,2,YES,23.8,<5,9.8,NO,NO,YES,NO,NO,,,<5,,75.6,64.2,30.5,23.8,82.4,85.6,55.6,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2425.3,Palo Verde HS,Regular,87.5,5,NO,64.9,35.2,31.9,YES,YES,YES,NO,NO,,,22.5,,94.6,86.3,70.6,50.1,>95,94.3,32,NO,,NO,,YES,2.0,64827,Churchill,2023
2023,2,Clark,2426.3,CSN South HS,Regular,98.13,5,NO,>95,67.7,,YES,YES,NO,NO,NO,,,,,,>95,>95,89.5,>95,>95,10,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2427.3,Shadow Ridge HS,Regular,71.0,4,NO,61,28.3,23,NO,NO,YES,YES,NO,,,<5,,96.6,75.5,52.7,45.9,93.9,92,30.7,NO,,NO,,YES,2.0,64827,Churchill,2023
2023,2,Clark,2428.3,Liberty HS,Regular,67.0,3,NO,51.9,18.1,21.3,YES,YES,YES,NO,NO,,,7.8,,94.9,69.6,34.5,35.7,92,93.6,37.1,NO,,NO,,NO,,64827,Churchill,2023
